-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::lift_fresh         0.00%      40.000us         0.00%      40.000us       1.143us       0.000us         0.00%       0.000us       0.000us            35  
                                               aten::to         0.32%       3.319ms        15.54%     162.230ms       4.635ms       0.000us         0.00%       2.217ms      63.343us            35  
                                         aten::_to_copy         0.03%     278.000us        15.23%     158.952ms       5.127ms       0.000us         0.00%       2.219ms      71.581us            31  
                                    aten::empty_strided         0.03%     356.000us         0.03%     356.000us       8.279us       0.000us         0.00%       0.000us       0.000us            43  
                                            aten::copy_         0.52%       5.408ms        16.18%     168.893ms     362.431us       8.686ms         3.54%       9.649ms      20.706us           466  
                                        cudaMemcpyAsync         0.60%       6.294ms         0.60%       6.294ms      17.532us     618.000us         0.25%     618.000us       1.721us           359  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.531ms         0.62%       1.531ms      41.378us            37  
                                  cudaStreamSynchronize        14.96%     156.159ms        14.96%     156.159ms     784.719us       0.000us         0.00%       0.000us       0.000us           199  
                                           aten::conv2d         0.00%      33.000us        63.13%     659.078ms     659.078ms       0.000us         0.00%       6.823ms       6.823ms             1  
                                      aten::convolution         0.00%      41.000us        63.13%     659.045ms     659.045ms       0.000us         0.00%       6.823ms       6.823ms             1  
                                     aten::_convolution         0.01%     117.000us        63.13%     659.004ms     659.004ms       0.000us         0.00%       6.823ms       6.823ms             1  
                                aten::cudnn_convolution         5.16%      53.840ms        63.10%     658.706ms     658.706ms     615.000us         0.25%       6.759ms       6.759ms             1  
                                  cudaStreamIsCapturing         0.00%      25.000us         0.00%      25.000us       1.786us       2.000us         0.00%       2.000us       0.143us            14  
                                             cudaMalloc         4.62%      48.199ms         4.62%      48.199ms       2.410ms      64.000us         0.03%      64.000us       3.200us            20  
                                     cudaGetDeviceCount         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaDriverGetVersion         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%      10.000us         0.00%      10.000us       0.175us       2.828ms         1.15%       2.828ms      49.614us            57  
                                cudaGetDeviceProperties         0.02%     202.000us         0.02%     202.000us     202.000us       0.000us         0.00%       0.000us       0.000us             1  
                              cudaStreamCreateWithFlags        11.79%     123.084ms        11.79%     123.084ms       7.693ms       2.660ms         1.09%       2.660ms     166.250us            16  
                                        cudaMemsetAsync         0.01%      78.000us         0.01%      78.000us       7.800us     586.000us         0.24%     586.000us      58.600us            10  
